arm,n_features,auroc_mean,auroc_std,auprc_mean,f1_50_mean,prec_fpr_mean,rec_fpr_mean,thr_mean,delta_auroc,delta_std,ci95
full_16,16,0.9539,0.0019,0.954,0.886,0.9392,0.7664,0.7777,0.0,0.0,0.0
drop_perplexity,10,0.9255,0.002,0.9183,0.8518,0.9243,0.6308,0.8249,-0.0285,0.0005,0.0005
drop_stylometric,10,0.8105,0.0028,0.8309,0.7086,0.893,0.4299,0.7261,-0.1434,0.001,0.0009
drop_distribution,12,0.947,0.0016,0.9467,0.8753,0.935,0.7351,0.791,-0.007,0.0005,0.0005
only_perplexity,6,0.7705,0.0034,0.7908,0.678,0.8714,0.3606,0.7417,-0.1834,0.0023,0.002
only_stylometric,6,0.9059,0.0025,0.8931,0.8331,0.913,0.5401,0.834,-0.048,0.0008,0.0007
only_distribution,4,0.6654,0.0009,0.6828,0.5772,0.8149,0.2223,0.7291,-0.2885,0.0019,0.0017
